,article_name,country,revision_id,article_quality_est.,population
352,Samrith Pech,Cambodia,750074445.0,Stub,15497000.0
353,Un Neung,Cambodia,750077042.0,Stub,15497000.0
354,Bou Thang,Cambodia,750179637.0,Stub,15497000.0
355,Peter Khoy Saukam,Cambodia,751227068.0,Start,15497000.0
356,Tuot Saron,Cambodia,752967379.0,Start,15497000.0
357,Phoeurng Sackona,Cambodia,752979708.0,Stub,15497000.0
358,Nhek Bun Chhay,Cambodia,753086260.0,Stub,15497000.0
359,Cheam Yeab,Cambodia,753684881.0,Stub,15497000.0
360,Chea Poch,Cambodia,753689952.0,Stub,15497000.0
361,Chin Bun Sean,Cambodia,753692176.0,Stub,15497000.0
362,Chhim Siek Leng,Cambodia,753695057.0,Stub,15497000.0
363,Chea Soth,Cambodia,753711610.0,Stub,15497000.0
364,Ke Pauk,Cambodia,754318281.0,Stub,15497000.0
365,Kong Sam Ol,Cambodia,754944744.0,Stub,15497000.0
366,Pho Proeung,Cambodia,755504987.0,Stub,15497000.0
367,San Yun,Cambodia,756129985.0,Stub,15497000.0
368,Tiv Ol,Cambodia,756722795.0,Start,15497000.0
369,Son Ngoc Thanh,Cambodia,758665997.0,C,15497000.0
370,Monovithya Kem,Cambodia,759510662.0,Stub,15497000.0
371,Mom Chim Huy,Cambodia,761412104.0,Stub,15497000.0
372,Norodom Norindeth,Cambodia,761941416.0,Start,15497000.0
373,Hem Heng,Cambodia,763098565.0,Start,15497000.0
374,Chum Bunrong,Cambodia,763098588.0,Stub,15497000.0
375,Duong Vanna,Cambodia,763316692.0,Stub,15497000.0
376,Chhay Tan,Cambodia,763968613.0,Stub,15497000.0
377,Keat Chhon,Cambodia,765244120.0,Stub,15497000.0
378,Ang Vong Vathana,Cambodia,765375452.0,Stub,15497000.0
379,Keo Remy,Cambodia,766576352.0,Stub,15497000.0
380,Sun Chanthol,Cambodia,766834612.0,Start,15497000.0
381,Khieu Kanharith,Cambodia,766836319.0,Stub,15497000.0
382,Chay Saing Yun,Cambodia,767217618.0,Stub,15497000.0
383,Ek Sam Ol,Cambodia,767218020.0,Stub,15497000.0
384,Ouk Rabun,Cambodia,767867369.0,Stub,15497000.0
385,Hun Phoeung,Cambodia,768488633.0,Stub,15497000.0
386,Nguon Nhel,Cambodia,769381746.0,Stub,15497000.0
387,Khuon Sodary,Cambodia,769381831.0,Stub,15497000.0
388,Sok Pheng,Cambodia,769447485.0,Stub,15497000.0
389,Say Chhum,Cambodia,769929584.0,Stub,15497000.0
390,Im Sothy,Cambodia,771408501.0,Stub,15497000.0
391,Eng Chhai Eang,Cambodia,773103096.0,Stub,15497000.0
392,Heng Pov,Cambodia,773157273.0,Start,15497000.0
393,Him Chhem,Cambodia,773455924.0,Stub,15497000.0
394,Ho Non,Cambodia,773694865.0,Stub,15497000.0
395,Ho Vann,Cambodia,773695304.0,Stub,15497000.0
396,Hul Savorn,Cambodia,774100291.0,Stub,15497000.0
397,Pol Hom,Cambodia,776153762.0,Stub,15497000.0
